date,open,high,low,close,volume
2024-12-26,1534.0000,1538.7800,1523.0000,1527.7900,1828651
2024-12-27,1528.9000,1536.0000,1519.5000,1528.9700,2075932
2024-12-30,1533.9700,1543.9600,1525.0000,1525.0000,2512982
2024-12-31,1525.4000,1545.0000,1522.0100,1524.0000,3935445
2025-01-02,1524.0000,1524.4900,1480.0000,1488.0000,5002870
2025-01-03,1494.5000,1494.9900,1467.0100,1475.0000,3262836
2025-01-06,1453.0000,1462.6600,1432.8000,1440.0000,4425512
2025-01-07,1444.6600,1451.8900,1439.0000,1440.2000,2422118
2025-01-08,1440.0000,1451.8199,1426.6600,1442.5000,3525821
2025-01-09,1448.9900,1464.5800,1432.9800,1444.0000,2970565
2025-01-10,1447.1000,1451.9500,1436.0000,1436.0000,2187195
2025-01-13,1425.0000,1444.4399,1422.0100,1443.9800,2108251
2025-01-14,1444.9500,1478.6801,1442.0000,1472.5000,3095657
2025-01-15,1467.0000,1474.6000,1460.0100,1471.2700,1839934
2025-01-16,1474.0000,1482.6600,1442.0000,1446.3800,2634213
2025-01-17,1446.3900,1461.0000,1446.3800,1454.7500,1830894
2025-01-20,1461.0000,1489.7900,1460.0000,1474.8000,3140975
2025-01-21,1481.0000,1482.0000,1465.0000,1468.1500,1685604
2025-01-22,1463.2700,1467.9500,1438.0000,1441.0000,2829384
2025-01-23,1449.9700,1468.0000,1438.0000,1443.0000,2712504
2025-01-24,1442.0000,1447.7900,1430.3101,1436.0000,3136034
2025-01-27,1437.0000,1443.9700,1427.0200,1434.9900,2935646
2025-02-05,1440.0000,1443.0000,1402.2100,1403.8000,4075652
2025-02-06,1400.0100,1421.9900,1400.0100,1412.8400,2735582
2025-02-07,1413.6801,1442.6801,1403.4100,1436.0000,3724207
2025-02-10,1438.0000,1440.0000,1427.0900,1431.5100,2083979
2025-02-11,1434.9500,1435.9600,1415.9000,1418.0000,2357283
2025-02-12,1418.0000,1445.0000,1416.8800,1443.0000,2547579
2025-02-13,1443.0200,1475.2500,1434.5100,1465.0601,4338536
2025-02-14,1465.0601,1477.0000,1458.2200,1475.0000,2709992
2025-02-17,1481.0000,1494.9800,1467.1000,1471.6200,3247059
2025-02-18,1470.0000,1492.9900,1462.0800,1475.0000,2779992
2025-02-19,1475.0500,1494.4399,1464.9000,1491.0000,3239331
2025-02-20,1483.0000,1491.9700,1473.3900,1474.0000,2374973
2025-02-21,1480.0000,1496.7300,1473.0100,1488.2100,3641783
2025-02-24,1488.0000,1499.5200,1474.0000,1479.0699,3474373
2025-02-25,1470.0100,1473.3900,1452.0000,1454.0000,2838743
2025-02-26,1455.4500,1464.9600,1445.0000,1460.0100,2636609
2025-02-27,1460.0200,1489.9000,1454.0000,1485.5601,4976217
2025-02-28,1485.5000,1528.3800,1482.0000,1500.7900,5612895
2025-03-03,1502.6000,1520.9900,1481.5000,1487.0200,3159566
2025-03-04,1485.0000,1486.0000,1465.2100,1470.1100,2521121
2025-03-05,1472.0000,1474.0000,1460.1000,1466.3700,2460522
2025-03-06,1474.0000,1510.2000,1472.0800,1505.9800,4216764
2025-03-07,1503.0000,1528.3600,1503.0000,1521.0000,3799135
2025-03-10,1519.8101,1526.8800,1506.1400,1522.9000,3136907
2025-03-11,1517.0000,1548.6801,1512.0000,1548.6801,3977560
2025-03-12,1546.9600,1549.6801,1526.3500,1542.5800,2960396
2025-03-13,1544.0000,1555.5000,1530.8800,1537.7700,2572439
2025-03-14,1547.6600,1628.0100,1541.0000,1628.0100,9291315
2025-03-17,1657.0000,1657.9900,1626.8800,1637.8600,5468913
2025-03-18,1645.0400,1652.0000,1621.7000,1624.0000,3161345
2025-03-19,1624.2900,1648.0000,1623.0000,1635.7100,2738955
2025-03-20,1635.7100,1637.6000,1595.0699,1604.0000,3673677
2025-03-21,1599.0000,1612.2000,1568.8300,1573.7500,3361430
2025-03-24,1570.0000,1589.6600,1562.3800,1583.0000,2556585
2025-03-25,1588.0000,1592.8000,1566.6600,1575.5000,1767438
2025-03-26,1572.7700,1582.5800,1571.0000,1576.0000,1432356
2025-03-27,1576.0000,1598.2500,1573.3800,1589.0000,1795563
2025-03-28,1590.9301,1593.0000,1576.0000,1585.2100,1622789
2025-03-31,1580.9800,1586.9600,1560.0601,1561.0000,2108494
2025-04-01,1564.0000,1569.8900,1552.2100,1556.0200,1855644
2025-04-02,1558.0000,1567.8000,1545.5000,1549.0200,2167401
2025-04-03,1530.0000,1586.0000,1529.0100,1568.8800,3548050
2025-04-07,1520.0100,1536.8500,1462.0000,1500.0000,10195267
2025-04-08,1513.0000,1545.0000,1495.0000,1545.0000,7387649
2025-04-09,1525.0200,1556.8000,1520.5500,1541.0400,5563004
2025-04-10,1550.9900,1555.0000,1528.0000,1549.0000,3862021
2025-04-11,1579.9700,1579.9700,1545.0000,1568.9800,3263423
2025-04-14,1560.9700,1566.0000,1551.5300,1551.9900,2171144
2025-04-15,1552.0000,1565.0000,1545.0000,1558.0000,2148928
2025-04-16,1552.0000,1576.0000,1537.0000,1559.1700,3115605
2025-04-17,1554.0000,1576.5000,1549.9900,1570.0000,2384605
2025-04-18,1566.0000,1575.0000,1556.0000,1565.9399,2029848
2025-04-21,1565.5000,1565.5000,1551.0000,1551.0000,1805703
2025-04-22,1550.0000,1556.3000,1543.2100,1548.8000,1843214
2025-04-23,1559.0000,1559.2200,1545.0000,1552.0000,1866876
2025-04-24,1552.0000,1560.6801,1548.9800,1552.2500,1487181
2025-04-25,1557.1000,1561.2000,1550.0000,1550.0000,1476490
2025-04-28,1552.0000,1555.0000,1546.6000,1550.0000,1465972
2025-04-29,1550.0000,1552.5400,1532.0200,1544.0000,1892180
2025-04-30,1549.9900,1566.6600,1546.3000,1547.0000,2575425
2025-05-06,1559.0000,1559.0000,1544.3300,1550.2000,1830026
2025-05-07,1570.0000,1570.0000,1550.2000,1555.0000,2746221
2025-05-08,1553.0000,1592.7800,1549.8300,1578.1899,3348106
2025-05-09,1578.9900,1597.4500,1575.0500,1591.1801,2367190
2025-05-12,1598.0000,1618.9301,1596.6100,1604.5000,2473533
2025-05-13,1608.9200,1608.9200,1585.1100,1590.3000,2125829
2025-05-14,1590.0000,1645.0000,1588.1801,1634.9900,3946012
2025-05-15,1634.8000,1643.5900,1624.1300,1632.0100,2473285
2025-05-16,1633.9900,1636.9900,1614.1300,1614.1300,2293522
2025-05-19,1596.0000,1600.0000,1573.8800,1578.9800,3806283
2025-05-20,1580.0000,1594.8000,1575.1000,1586.0000,1952153
